university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
Inha University,,,21.5,17.299999999999997,,28.8,,,25.25,,15.3
Institut Teknologi Sepuluh Nopember,,,,30.7,,22.65,,,14.15,,
Institute of Chemical Technology,,,,,,32.7,,,32.05,,
"International Islamic University, Islamabad",,,,,,28.8,,,25.25,,
Iowa State University,15.85,41.45,,35.15,36.75,42.75,,50.0,45.2,41.2,35.85
Iran University of Medical Sciences,,,27.55,,,,,15.2,,,
Iran University of Science and Technology,,35.45,,30.7,,32.7,,,32.05,,
Isfahan University of Medical Sciences,,,21.5,,,,,,,,
Isfahan University of Technology,,,,30.7,,32.7,,26.4,25.25,,
Istanbul Medipol University,,,21.5,,,,,,,,
Istanbul Technical University,15.85,17.200000000000003,,30.7,,28.8,,,25.25,,
Istanbul University,,,30.75,,17.950000000000003,13.85,,15.2,14.15,,23.2
Ivan Franko National University of Lviv,,,,,,,,,14.15,,
Ivane Javakhishvili Tbilisi State University,,,,,,,,,14.15,,
Iwate University,,,,,,13.85,,15.2,,,
Izmir Institute of Technology,,,,,,13.85,,,25.25,,
Jacobs University,,,,,,42.75,,38.9,41.25,,
Jadavpur University,,,,,,22.65,,,25.25,,
Jagiellonian University,23.85,,34.3,17.299999999999997,,,,26.4,32.05,21.25,15.3
James Cook University,,35.45,37.6,,27.25,32.7,,54.45,48.25,21.25,41.75
Jamia Millia Islamia,,,,25.95,,32.7,,32.650000000000006,32.05,,
Jaume I University,15.85,31.6,,25.95,17.950000000000003,36.7,,,32.05,21.25,23.2
Jawaharlal Nehru University,23.85,,,30.7,,,,32.650000000000006,25.25,,27.75
Jeonbuk National University,,,21.5,17.299999999999997,,28.8,,15.2,25.25,,
Jiangsu Normal University,,,,,,28.8,,26.4,36.35,,
Jiangsu University,,,27.55,17.299999999999997,,22.65,,15.2,25.25,,
Jikei University School of Medicine,,,27.55,,,,,,,,
Jilin University,,,21.5,17.299999999999997,17.950000000000003,32.7,,26.4,25.25,,15.3
Jinan University,,35.45,27.55,25.95,,32.7,,26.4,,,
Johannes Gutenberg University of Mainz,27.45,,30.75,,,,,43.7,55.05,35.35,32.3
Johannes Kepler University of Linz,,31.6,,35.15,,40.0,,,36.35,,32.3
Johns Hopkins University,63.4,59.8,78.8,77.7,73.1,73.6,,92.4,77.0,,72.5
